work_year,job_title,experience_level,employment_type,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,source,employer,requirement
2020,Data Engineer,Mid,Full-time,106000 - 106000 USD,USD,106000,United States,100,United States,L,kaggle,,remote_ratio=100
2020,Data Engineer,Mid,Full-time,112872 - 112872 USD,USD,112872,United Kingdom,50,United Kingdom,L,kaggle,,remote_ratio=50
2020,ML Engineer,Junior,Part-time,15966 - 15966 USD,USD,15966,Germany,100,Germany,S,kaggle,,remote_ratio=100
2020,Data Scientist,Mid,Full-time,76958 - 76958 USD,USD,76958,United Kingdom,100,United Kingdom,S,kaggle,,remote_ratio=100
2020,Data Scientist,Mid,Full-time,105000 - 105000 USD,USD,105000,United States,100,United States,L,kaggle,,remote_ratio=100
2020,Data Engineer,Mid,Full-time,70139 - 70139 USD,USD,70139,France,50,France,L,kaggle,,remote_ratio=50
2020,Data Analyst,Junior,Full-time,6072 - 6072 USD,USD,6072,India,0,India,S,kaggle,,remote_ratio=0
2020,AI Scientist,Junior,Full-time,45896 - 45896 USD,USD,45896,DK,50,DK,S,kaggle,,remote_ratio=50
2020,Data Engineer,Junior,Full-time,54742 - 54742 USD,USD,54742,PK,100,Germany,L,kaggle,,remote_ratio=100
2020,Computer Vision Engineer,Senior,Freelance,60000 - 60000 USD,USD,60000,Russia,100,United States,S,kaggle,,remote_ratio=100
2020,Principal Data Scientist,Senior,Full-time,148261 - 148261 USD,USD,148261,Germany,100,Germany,M,kaggle,,remote_ratio=100
2020,Data Scientist,Mid,Full-time,38776 - 38776 USD,USD,38776,Spain,100,Spain,M,kaggle,,remote_ratio=100
2020,Data Engineer,Mid,Full-time,130800 - 130800 USD,USD,130800,Spain,100,United States,M,kaggle,,remote_ratio=100
2020,Data Scientist,Junior,Part-time,21669 - 21669 USD,USD,21669,Italy,50,Italy,S,kaggle,,remote_ratio=50
2020,Machine Learning Engineer,Senior,Full-time,45618 - 45618 USD,USD,45618,HR,100,HR,S,kaggle,,remote_ratio=100
2020,Data Science Manager,Senior,Full-time,190200 - 190200 USD,USD,190200,United States,100,United States,M,kaggle,,remote_ratio=100
2020,Data Scientist,Senior,Full-time,91237 - 91237 USD,USD,91237,Austria,0,Austria,S,kaggle,,remote_ratio=0
2021,Research Scientist,Junior,Full-time,82528 - 82528 USD,USD,82528,United Kingdom,50,United Kingdom,L,kaggle,,remote_ratio=50
2021,BI Data Analyst,Executive,Full-time,150000 - 150000 USD,USD,150000,India,100,United States,L,kaggle,,remote_ratio=100
2021,Head of Data,Executive,Full-time,235000 - 235000 USD,USD,235000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Data Scientist,Senior,Full-time,53192 - 53192 USD,USD,53192,France,50,France,L,kaggle,,remote_ratio=50
2021,BI Data Analyst,Mid,Full-time,100000 - 100000 USD,USD,100000,United States,100,United States,M,kaggle,,remote_ratio=100
2021,3D Computer Vision Researcher,Mid,Part-time,5409 - 5409 USD,USD,5409,India,50,India,M,kaggle,,remote_ratio=50
2021,ML Engineer,Mid,Contract,270000 - 270000 USD,USD,270000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Data Analyst,Junior,Full-time,80000 - 80000 USD,USD,80000,United States,100,United States,M,kaggle,,remote_ratio=100
2021,Data Analytics Engineer,Senior,Full-time,79197 - 79197 USD,USD,79197,Germany,100,Germany,L,kaggle,,remote_ratio=100
2021,Data Engineer,Mid,Full-time,140000 - 140000 USD,USD,140000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Applied Data Scientist,Mid,Full-time,54238 - 54238 USD,USD,54238,United Kingdom,50,Canada,L,kaggle,,remote_ratio=50
2021,Machine Learning Engineer,Mid,Full-time,47282 - 47282 USD,USD,47282,Spain,100,Spain,S,kaggle,,remote_ratio=100
2021,Director of Data Science,Executive,Full-time,153667 - 153667 USD,USD,153667,Italy,100,Poland,L,kaggle,,remote_ratio=100
2021,Data Engineer,Mid,Full-time,28476 - 28476 USD,USD,28476,Poland,100,Poland,L,kaggle,,remote_ratio=100
2021,Data Analyst,Junior,Full-time,59102 - 59102 USD,USD,59102,France,50,France,M,kaggle,,remote_ratio=50
2021,Data Analytics Engineer,Mid,Full-time,110000 - 110000 USD,USD,110000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Lead Data Analyst,Senior,Full-time,170000 - 170000 USD,USD,170000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Data Analyst,Senior,Full-time,80000 - 80000 USD,USD,80000,BG,100,United States,S,kaggle,,remote_ratio=100
2021,Marketing Data Analyst,Senior,Full-time,88654 - 88654 USD,USD,88654,GR,100,DK,L,kaggle,,remote_ratio=100
2021,Data Science Consultant,Junior,Full-time,76833 - 76833 USD,USD,76833,Germany,100,Germany,S,kaggle,,remote_ratio=100
2021,Lead Data Analyst,Mid,Full-time,19609 - 19609 USD,USD,19609,India,100,India,L,kaggle,,remote_ratio=100
2021,Lead Data Engineer,Senior,Full-time,276000 - 276000 USD,USD,276000,United States,0,United States,L,kaggle,,remote_ratio=0
2021,Data Scientist,Junior,Full-time,29751 - 29751 USD,USD,29751,India,50,India,L,kaggle,,remote_ratio=50
2021,Cloud Data Engineer,Mid,Full-time,89294 - 89294 USD,USD,89294,SG,50,SG,L,kaggle,,remote_ratio=50
2021,AI Scientist,Junior,Part-time,12000 - 12000 USD,USD,12000,Brazil,100,United States,S,kaggle,,remote_ratio=100
2021,Financial Data Analyst,Mid,Full-time,450000 - 450000 USD,USD,450000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Computer Vision Software Engineer,Junior,Full-time,70000 - 70000 USD,USD,70000,United States,100,United States,M,kaggle,,remote_ratio=100
2021,Computer Vision Software Engineer,Mid,Full-time,95746 - 95746 USD,USD,95746,Germany,100,United States,S,kaggle,,remote_ratio=100
2021,BI Data Analyst,Mid,Full-time,36259 - 36259 USD,USD,36259,HU,50,United States,L,kaggle,,remote_ratio=50
2021,Data Scientist,Mid,Full-time,73000 - 73000 USD,USD,73000,United States,0,United States,L,kaggle,,remote_ratio=0
2021,Data Analyst,Mid,Full-time,51519 - 51519 USD,USD,51519,United Kingdom,50,United Kingdom,L,kaggle,,remote_ratio=50
2021,Research Scientist,Mid,Full-time,187442 - 187442 USD,USD,187442,Canada,100,Canada,L,kaggle,,remote_ratio=100
2021,Data Engineer,Junior,Full-time,30428 - 30428 USD,USD,30428,India,100,India,L,kaggle,,remote_ratio=100
2021,Machine Learning Engineer,Senior,Full-time,94564 - 94564 USD,USD,94564,Germany,50,Germany,L,kaggle,,remote_ratio=50
2021,Director of Data Engineering,Senior,Full-time,113476 - 113476 USD,USD,113476,United Kingdom,100,United Kingdom,M,kaggle,,remote_ratio=100
2021,Lead Data Engineer,Senior,Full-time,103160 - 103160 USD,USD,103160,United Kingdom,100,United Kingdom,S,kaggle,,remote_ratio=100
2021,AI Scientist,Junior,Part-time,12000 - 12000 USD,USD,12000,PK,100,United States,M,kaggle,,remote_ratio=100
2021,Data Engineer,Mid,Full-time,45391 - 45391 USD,USD,45391,Netherlands,100,Netherlands,L,kaggle,,remote_ratio=100
2021,Machine Learning Scientist,Junior,Full-time,225000 - 225000 USD,USD,225000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Data Scientist,Mid,Full-time,50000 - 50000 USD,USD,50000,NG,100,NG,L,kaggle,,remote_ratio=100
2021,Data Science Engineer,Mid,Full-time,40189 - 40189 USD,USD,40189,GR,100,GR,M,kaggle,,remote_ratio=100
2021,Big Data Engineer,Mid,Full-time,60000 - 60000 USD,USD,60000,Spain,50,RO,M,kaggle,,remote_ratio=50
2021,Principal Data Engineer,Senior,Full-time,200000 - 200000 USD,USD,200000,United States,100,United States,M,kaggle,,remote_ratio=100
2021,Data Analyst,Junior,Part-time,10354 - 10354 USD,USD,10354,Spain,50,Spain,M,kaggle,,remote_ratio=50
2021,Principal Data Scientist,Mid,Full-time,151000 - 151000 USD,USD,151000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Machine Learning Engineer,Junior,Full-time,20000 - 20000 USD,USD,20000,India,100,India,S,kaggle,,remote_ratio=100
2021,Lead Data Scientist,Senior,Full-time,40570 - 40570 USD,USD,40570,India,50,India,L,kaggle,,remote_ratio=50
2021,Machine Learning Developer,Junior,Full-time,100000 - 100000 USD,USD,100000,IQ,50,IQ,S,kaggle,,remote_ratio=50
2021,Applied Machine Learning Scientist,Mid,Full-time,38400 - 38400 USD,USD,38400,VN,100,United States,M,kaggle,,remote_ratio=100
2021,Computer Vision Engineer,Senior,Full-time,24000 - 24000 USD,USD,24000,Brazil,100,Brazil,M,kaggle,,remote_ratio=100
2021,ML Engineer,Mid,Full-time,63711 - 63711 USD,USD,63711,Japan,50,Japan,S,kaggle,,remote_ratio=50
2021,Data Science Manager,Senior,Full-time,240000 - 240000 USD,USD,240000,United States,0,United States,L,kaggle,,remote_ratio=0
2021,Data Engineering Manager,Senior,Full-time,150000 - 150000 USD,USD,150000,United States,0,United States,L,kaggle,,remote_ratio=0
2021,Machine Learning Engineer,Senior,Full-time,82744 - 82744 USD,USD,82744,Belgium,50,Belgium,M,kaggle,,remote_ratio=50
2021,Research Scientist,Mid,Full-time,62649 - 62649 USD,USD,62649,France,50,France,M,kaggle,,remote_ratio=50
2021,Cloud Data Engineer,Senior,Full-time,160000 - 160000 USD,USD,160000,Brazil,100,United States,S,kaggle,,remote_ratio=100
2021,Director of Data Science,Senior,Full-time,168000 - 168000 USD,USD,168000,Japan,0,Japan,S,kaggle,,remote_ratio=0
2021,Data Scientist,Mid,Full-time,75774 - 75774 USD,USD,75774,Canada,100,Canada,L,kaggle,,remote_ratio=100
2021,Data Scientist,Junior,Full-time,13400 - 13400 USD,USD,13400,Ukraine,100,Ukraine,L,kaggle,,remote_ratio=100
2021,Data Science Engineer,Senior,Full-time,127221 - 127221 USD,USD,127221,Canada,50,Canada,L,kaggle,,remote_ratio=50
2021,Data Scientist,Mid,Full-time,119059 - 119059 USD,USD,119059,SG,100,IL,M,kaggle,,remote_ratio=100
2021,Applied Machine Learning Scientist,Mid,Full-time,423000 - 423000 USD,USD,423000,United States,50,United States,L,kaggle,,remote_ratio=50
2021,Data Analytics Manager,Senior,Full-time,120000 - 120000 USD,USD,120000,United States,100,United States,M,kaggle,,remote_ratio=100
2021,Machine Learning Engineer,Junior,Full-time,125000 - 125000 USD,USD,125000,United States,100,United States,S,kaggle,,remote_ratio=100
2021,Head of Data,Executive,Full-time,230000 - 230000 USD,USD,230000,Russia,50,Russia,L,kaggle,,remote_ratio=50
2021,Head of Data Science,Executive,Full-time,85000 - 85000 USD,USD,85000,Russia,0,Russia,M,kaggle,,remote_ratio=0
2021,Data Engineer,Mid,Full-time,28369 - 28369 USD,USD,28369,MT,50,MT,L,kaggle,,remote_ratio=50
2021,Director of Data Science,Executive,Full-time,130026 - 130026 USD,USD,130026,Germany,50,Germany,M,kaggle,,remote_ratio=50
2021,Data Specialist,Senior,Full-time,165000 - 165000 USD,USD,165000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Director of Data Science,Executive,Full-time,250000 - 250000 USD,USD,250000,United States,0,United States,L,kaggle,,remote_ratio=0
2021,Data Architect,Mid,Full-time,150000 - 150000 USD,USD,150000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Data Engineer,Mid,Full-time,82528 - 82528 USD,USD,82528,United Kingdom,100,United Kingdom,L,kaggle,,remote_ratio=100
2021,Research Scientist,Senior,Full-time,60757 - 60757 USD,USD,60757,Portugal,50,Portugal,L,kaggle,,remote_ratio=50
2021,Data Scientist,Mid,Full-time,2859 - 2859 USD,USD,2859,Mexico,0,Mexico,S,kaggle,,remote_ratio=0
2021,Data Scientist,Mid,Full-time,40038 - 40038 USD,USD,40038,CL,100,CL,L,kaggle,,remote_ratio=100
2021,Big Data Engineer,Mid,Full-time,22611 - 22611 USD,USD,22611,India,0,India,L,kaggle,,remote_ratio=0
2021,Data Scientist,Mid,Full-time,90734 - 90734 USD,USD,90734,Germany,50,Germany,L,kaggle,,remote_ratio=50
2021,Data Engineer,Mid,Full-time,26005 - 26005 USD,USD,26005,RO,0,United States,L,kaggle,,remote_ratio=0
2021,Finance Data Analyst,Senior,Full-time,61896 - 61896 USD,USD,61896,United Kingdom,50,United Kingdom,L,kaggle,,remote_ratio=50
2021,Machine Learning Scientist,Mid,Freelance,12000 - 12000 USD,USD,12000,PK,50,PK,M,kaggle,,remote_ratio=50
2021,Data Engineer,Mid,Full-time,4000 - 4000 USD,USD,4000,IR,100,IR,M,kaggle,,remote_ratio=100
2021,Data Analytics Engineer,Senior,Full-time,50000 - 50000 USD,USD,50000,VN,100,United Kingdom,M,kaggle,,remote_ratio=100
2021,Data Science Consultant,Executive,Full-time,69741 - 69741 USD,USD,69741,France,100,Spain,S,kaggle,,remote_ratio=100
2021,Machine Learning Engineer,Mid,Full-time,74000 - 74000 USD,USD,74000,Japan,50,Japan,S,kaggle,,remote_ratio=50
2021,Machine Learning Engineer,Junior,Full-time,21844 - 21844 USD,USD,21844,CO,50,CO,M,kaggle,,remote_ratio=50
2021,Big Data Engineer,Mid,Full-time,18000 - 18000 USD,USD,18000,MD,0,MD,S,kaggle,,remote_ratio=0
2021,BI Data Analyst,Junior,Full-time,9272 - 9272 USD,USD,9272,KE,100,KE,S,kaggle,,remote_ratio=100
2021,Data Science Manager,Senior,Full-time,54094 - 54094 USD,USD,54094,India,50,United States,L,kaggle,,remote_ratio=50
2021,Data Science Consultant,Junior,Full-time,90000 - 90000 USD,USD,90000,United States,100,United States,S,kaggle,,remote_ratio=100
2021,Machine Learning Infrastructure Engineer,Senior,Full-time,195000 - 195000 USD,USD,195000,United States,100,United States,M,kaggle,,remote_ratio=100
2021,Data Scientist,Mid,Full-time,37825 - 37825 USD,USD,37825,Spain,100,Spain,L,kaggle,,remote_ratio=100
2021,Data Scientist,Mid,Full-time,12901 - 12901 USD,USD,12901,Brazil,0,Brazil,S,kaggle,,remote_ratio=0
2021,Data Engineer,Mid,Freelance,20000 - 20000 USD,USD,20000,Italy,0,United States,L,kaggle,,remote_ratio=0
2021,Machine Learning Engineer,Mid,Full-time,24823 - 24823 USD,USD,24823,SI,50,SI,L,kaggle,,remote_ratio=50
2021,Data Engineer,Mid,Full-time,66022 - 66022 USD,USD,66022,HK,50,United Kingdom,S,kaggle,,remote_ratio=50
2021,Computer Vision Engineer,Junior,Part-time,28609 - 28609 USD,USD,28609,DK,50,DK,S,kaggle,,remote_ratio=50
2021,Machine Learning Engineer,Mid,Full-time,46597 - 46597 USD,USD,46597,Poland,100,Poland,L,kaggle,,remote_ratio=100
2021,Data Scientist,Mid,Full-time,116914 - 116914 USD,USD,116914,United Kingdom,50,United Kingdom,L,kaggle,,remote_ratio=50
2021,Data Analyst,Senior,Full-time,71786 - 71786 USD,USD,71786,Canada,100,Canada,M,kaggle,,remote_ratio=100
2021,Director of Data Engineering,Senior,Full-time,200000 - 200000 USD,USD,200000,United States,100,United States,L,kaggle,,remote_ratio=100
2021,Head of Data Science,Mid,Full-time,110000 - 110000 USD,USD,110000,United States,0,United States,S,kaggle,,remote_ratio=0
2021,Data Scientist,Junior,Full-time,4000 - 4000 USD,USD,4000,VN,0,VN,M,kaggle,,remote_ratio=0
2021,AI Scientist,Junior,Full-time,18053 - 18053 USD,USD,18053,India,100,AS,S,kaggle,,remote_ratio=100
2021,Data Engineer,Mid,Full-time,12103 - 12103 USD,USD,12103,TR,0,TR,M,kaggle,,remote_ratio=0
2021,Principal Data Analyst,Senior,Full-time,170000 - 170000 USD,USD,170000,United States,100,United States,M,kaggle,,remote_ratio=100
2021,Big Data Architect,Senior,Full-time,99703 - 99703 USD,USD,99703,Canada,50,Canada,M,kaggle,,remote_ratio=50
2021,Principal Data Scientist,Senior,Full-time,173762 - 173762 USD,USD,173762,Germany,100,Germany,M,kaggle,,remote_ratio=100
2021,Data Analyst,Senior,Full-time,63831 - 63831 USD,USD,63831,Germany,50,Germany,L,kaggle,,remote_ratio=50
2021,Data Scientist,Mid,Full-time,25532 - 25532 USD,USD,25532,RS,100,Germany,S,kaggle,,remote_ratio=100
2021,Lead Data Engineer,Senior,Full-time,160000 - 160000 USD,USD,160000,PR,50,United States,S,kaggle,,remote_ratio=50
2021,Data Engineer,Junior,Full-time,65013 - 65013 USD,USD,65013,Germany,50,Germany,M,kaggle,,remote_ratio=50
2021,Machine Learning Engineer,Junior,Full-time,85000 - 85000 USD,USD,85000,Netherlands,100,Germany,S,kaggle,,remote_ratio=100
2021,AI Scientist,Senior,Full-time,55000 - 55000 USD,USD,55000,Spain,100,Spain,L,kaggle,,remote_ratio=100
2021,Data Scientist,Senior,Full-time,20171 - 20171 USD,USD,20171,TR,50,TR,L,kaggle,,remote_ratio=50
2021,Business Data Analyst,Junior,Full-time,59102 - 59102 USD,USD,59102,LU,100,LU,L,kaggle,,remote_ratio=100
2021,Research Scientist,Junior,Full-time,100000 - 100000 USD,USD,100000,JE,0,China,L,kaggle,,remote_ratio=0
2021,Staff Data Scientist,Senior,Contract,105000 - 105000 USD,USD,105000,United States,100,United States,M,kaggle,,remote_ratio=100
2021,Research Scientist,Mid,Full-time,69999 - 69999 USD,USD,69999,Czech Republic,50,Czech Republic,L,kaggle,,remote_ratio=50
2021,Head of Data,Senior,Full-time,102839 - 102839 USD,USD,102839,SI,100,SI,L,kaggle,,remote_ratio=100
2021,Machine Learning Engineer,Mid,Full-time,51064 - 51064 USD,USD,51064,Italy,50,Italy,L,kaggle,,remote_ratio=50
2022,Data Engineer,Senior,Full-time,135000 - 135000 USD,USD,135000,United States,100,United States,M,kaggle,,remote_ratio=100
2022,Data Analyst,Senior,Full-time,155000 - 155000 USD,USD,155000,United States,100,United States,M,kaggle,,remote_ratio=100
2022,Data Scientist,Mid,Full-time,130000 - 130000 USD,USD,130000,United States,0,United States,M,kaggle,,remote_ratio=0
2022,Data Scientist,Senior,Full-time,117789 - 117789 USD,USD,117789,United Kingdom,0,United Kingdom,M,kaggle,,remote_ratio=0
2022,Data Engineer,Junior,Full-time,52351 - 52351 USD,USD,52351,United Kingdom,100,United Kingdom,M,kaggle,,remote_ratio=100
2022,Head of Data Science,Executive,Full-time,224000 - 224000 USD,USD,224000,United States,100,United States,M,kaggle,,remote_ratio=100
2022,Analytics Engineer,Executive,Full-time,175000 - 175000 USD,USD,175000,United States,100,United States,M,kaggle,,remote_ratio=100
2022,Data Science Manager,Senior,Full-time,161342 - 161342 USD,USD,161342,United States,100,United States,M,kaggle,,remote_ratio=100
2022,Data Architect,Senior,Full-time,192400 - 192400 USD,USD,192400,Canada,100,Canada,M,kaggle,,remote_ratio=100
2022,Data Analyst,Senior,Full-time,130000 - 130000 USD,USD,130000,Canada,100,Canada,M,kaggle,,remote_ratio=100
2022,Machine Learning Engineer,Senior,Full-time,189650 - 189650 USD,USD,189650,United States,0,United States,M,kaggle,,remote_ratio=0
2022,ETL Developer,Mid,Full-time,54957 - 54957 USD,USD,54957,GR,0,GR,M,kaggle,,remote_ratio=0
2022,Lead Data Engineer,Executive,Full-time,118187 - 118187 USD,USD,118187,Canada,100,Canada,S,kaggle,,remote_ratio=100
2022,Data Architect,Senior,Full-time,208775 - 208775 USD,USD,208775,United States,100,United States,M,kaggle,,remote_ratio=100
2022,Head of Machine Learning,Executive,Full-time,79039 - 79039 USD,USD,79039,India,50,India,L,kaggle,,remote_ratio=50
2022,Machine Learning Engineer,Junior,Full-time,37300 - 37300 USD,USD,37300,United Kingdom,100,United Kingdom,L,kaggle,,remote_ratio=100
2022,AI Scientist,Mid,Full-time,120000 - 120000 USD,USD,120000,United States,0,United States,M,kaggle,,remote_ratio=0
2022,Data Analytics Manager,Senior,Full-time,145000 - 145000 USD,USD,145000,United States,100,United States,M,kaggle,,remote_ratio=100
2022,Machine Learning Engineer,Mid,Full-time,87932 - 87932 USD,USD,87932,France,100,Germany,M,kaggle,,remote_ratio=100
2022,Data Analyst,Mid,Full-time,52351 - 52351 USD,USD,52351,United Kingdom,100,United Kingdom,M,kaggle,,remote_ratio=100
2022,Data Engineer,Mid,Full-time,65949 - 65949 USD,USD,65949,GR,100,GR,M,kaggle,,remote_ratio=100
2022,Data Science Engineer,Senior,Full-time,60000 - 60000 USD,USD,60000,AR,100,Mexico,L,kaggle,,remote_ratio=100
2022,Machine Learning Scientist,Mid,Full-time,160000 - 160000 USD,USD,160000,United States,100,United States,L,kaggle,,remote_ratio=100
2022,Data Engineer,Mid,Full-time,49461 - 49461 USD,USD,49461,Spain,100,Spain,M,kaggle,,remote_ratio=100
2022,Data Analyst,Mid,Full-time,43966 - 43966 USD,USD,43966,Spain,100,Spain,M,kaggle,,remote_ratio=100
2022,Data Analyst,Mid,Full-time,43966 - 43966 USD,USD,43966,GR,100,GR,M,kaggle,,remote_ratio=100
2022,ML Engineer,Junior,Full-time,21983 - 21983 USD,USD,21983,Portugal,100,Portugal,L,kaggle,,remote_ratio=100
2022,Machine Learning Developer,Mid,Full-time,78791 - 78791 USD,USD,78791,Canada,100,Canada,M,kaggle,,remote_ratio=100
2022,Director of Data Science,Executive,Full-time,196979 - 196979 USD,USD,196979,Canada,50,Canada,L,kaggle,,remote_ratio=50
2022,Computer Vision Engineer,Junior,Full-time,125000 - 125000 USD,USD,125000,United States,0,United States,M,kaggle,,remote_ratio=0
2022,NLP Engineer,Mid,Full-time,37236 - 37236 USD,USD,37236,United States,50,United States,L,kaggle,,remote_ratio=50
2022,Lead Machine Learning Engineer,Senior,Full-time,87932 - 87932 USD,USD,87932,Germany,0,Germany,M,kaggle,,remote_ratio=0
2022,Business Data Analyst,Mid,Full-time,18442 - 18442 USD,USD,18442,India,100,India,M,kaggle,,remote_ratio=100
2022,Data Scientist,Mid,Full-time,31615 - 31615 USD,USD,31615,India,100,India,L,kaggle,,remote_ratio=100
2022,Machine Learning Infrastructure Engineer,Mid,Full-time,58255 - 58255 USD,USD,58255,Portugal,50,Portugal,L,kaggle,,remote_ratio=50
2022,Financial Data Analyst,Junior,Full-time,100000 - 100000 USD,USD,100000,United States,50,United States,L,kaggle,,remote_ratio=50
2022,Data Engineer,Mid,Part-time,54957 - 54957 USD,USD,54957,Germany,50,Germany,L,kaggle,,remote_ratio=50
2022,Principal Data Scientist,Senior,Full-time,162674 - 162674 USD,USD,162674,Germany,100,Germany,M,kaggle,,remote_ratio=100
2022,Research Scientist,Senior,Full-time,144000 - 144000 USD,USD,144000,United States,50,United States,L,kaggle,,remote_ratio=50
2022,Machine Learning Engineer,Senior,Full-time,120000 - 120000 USD,USD,120000,AE,100,AE,S,kaggle,,remote_ratio=100
2022,Data Scientist,Junior,Part-time,100000 - 100000 USD,USD,100000,DZ,50,DZ,M,kaggle,,remote_ratio=50
2022,Data Scientist,Mid,Freelance,100000 - 100000 USD,USD,100000,Canada,100,United States,M,kaggle,,remote_ratio=100
